,斯坦纳点名称,区域,子区域,x,y
346,IDM742,GSO,industrial,595004.85,3989070.52
347,IDM744,GSO,industrial,595009.72,3989086.77
348,IDM745,GSO,industrial,595002.67,3989041.92
349,IDM746,GSO,industrial,594995.49,3989048.17
350,IDM747,GSO,industrial,594935.59,3989075.47
351,IDM750,GSO,industrial,594952.96,3989064.9
352,IDM752,GSO,industrial,594947.17,3989068.43
353,IDM753,GSO,industrial,594941.38,3989071.95
354,IDM755,GSO,industrial,594940.28,3989086.52
355,IDM756,GSO,industrial,594958.52,3988972.19
356,IDM757,GSO,industrial,594945.6,3988975.41
357,IDM759,GSO,industrial,594932.39,3988981.08
358,IDM761,GSO,industrial,594924.47,3988984.92
359,IDM763,GSO,industrial,594976.18,3988950.7
360,IDM764,GSO,industrial,594916.56,3988988.76
361,IDM766,GSO,industrial,594908.64,3988992.6
362,IDM767,GSO,industrial,594888.24,3989004.41
363,IDM768,GSO,industrial,594894.65,3988999.93
364,IDM770,GSO,industrial,594881.82,3989008.89
365,IDM771,GSO,industrial,594875.41,3989013.37
366,IDM775,GSO,industrial,594807.41,3989023.67
367,IDM776,GSO,industrial,594846.9,3989016.94
368,IDM777,GSO,industrial,594839.53,3989015.09
369,IDM780,GSO,industrial,594816.09,3989016.66
370,IDM782,GSO,industrial,594798.39,3989062.01
371,IDM783,GSO,industrial,594800.73,3989083.11
372,IDM787,GSO,industrial,594857.24,3989018.83
373,IDM788,GSO,industrial,594798.51,3989054.86
374,IDM789,GSO,industrial,594801.08,3989038.02
375,IDM793,GSO,industrial,594803.53,3989028.34
376,IDM794,GSO,industrial,594802.14,3989089.89
377,IDM795,GSO,industrial,594804.55,3989095.97
378,IDM797,GSO,industrial,594810.79,3989110.05
379,IDM798,GSO,industrial,594814.61,3989118.05
380,IDM803,GSO,industrial,594928.28,3989079.92
381,IDM805,GSO,industrial,594913.67,3989088.8
382,IDM806,GSO,industrial,594970.46,3989059.16
383,IDM809,GSO,industrial,594944.98,3989097.56
384,IDM813,GSO,industrial,595009.72,3989086.77
385,IDM814,GSO,industrial,595060.52,3989096.96
386,IDM815,GSO,industrial,595031.73,3989115.07
387,IDM819,GSO,industrial,592045.12,3992641.38
388,IDM820,GSO,industrial,592010.83,3992633.52
389,IDM821,GSO,industrial,592077.24,3992647.56
390,IDM822,GSO,industrial,592101.17,3992650.04
391,IDM825,GSO,industrial,593407.71,3992043.39
392,IDM826,GSO,industrial,593378.85,3992004.65
393,IDM827,GSO,industrial,593368.86,3991988.47
394,IDM828,GSO,industrial,593040.19,3992308.8
395,IDM829,GSO,industrial,593011.06,3992308.4
396,IDM830,GSO,industrial,593059.61,3992309.06
397,IDM831,GSO,industrial,593251.75,3992235.22
398,IDM832,GSO,industrial,593233.22,3992263.83
399,IDM833,GSO,industrial,594049.11,3992273.36
400,IDM834,GSO,industrial,594088.81,3992254.49
401,IDM844,GSO,industrial,595869.74,3992757.74
402,IDM845,GSO,industrial,595887.31,3992748.71
403,IDM876,GSO,industrial,596623.69,3992864.98
404,IDM880,GSO,industrial,596616.36,3992847.54
405,IDM882,GSO,industrial,596631.01,3992882.42
406,IDM887,GSO,industrial,596100.84,3993465.85
407,IDM889,GSO,industrial,596044.6,3993503.37
408,IDM894,GSO,industrial,596626.89,3993267.24
409,IDM896,GSO,industrial,596661.9,3993251.78
410,IDM909,GSO,industrial,596589.15,3993231.73
411,IDM910,GSO,industrial,596554.39,3993246.13
412,IDM912,GSO,industrial,596674.96,3992987.05
413,IDM913,GSO,industrial,596696.93,3993039.37
414,IDM919,GSO,industrial,596696.91,3993236.31
415,IDM921,GSO,industrial,596731.93,3993220.84
416,IDM930,GSO,industrial,591962.48,3993816.97
417,IDM931,GSO,industrial,591896.52,3993841.74
418,IDM932,GSO,industrial,592169.24,3994347.82
419,IDM933,GSO,industrial,592233.67,3994340.84
420,IDM942,GSO,industrial,594752.46,3994677.16
421,IDM943,GSO,industrial,594713.6,3994636.32
422,IDM954,GSO,industrial,592957.83,3995372.98
423,IDM959,GSO,industrial,592837.03,3997638.64
424,IDM961,GSO,industrial,592927.82,3997641.57
425,IDM963,GSO,industrial,592924.12,3997572.57
426,IDM969,GSO,industrial,594369.71,3997010.8
427,IDM970,GSO,industrial,594350.28,3997008.23
428,IDM976,GSO,industrial,590573.78,3995785.18
429,IDM977,GSO,industrial,593762.36,3988321.64
430,IDM978,GSO,industrial,593737.25,3988315.8
431,IDM984,GSO,industrial,594716.57,3989747.25
432,IDM985,GSO,industrial,594746.48,3989742.55
433,IDM986,GSO,industrial,594558.82,3989716.13
434,IDM987,GSO,industrial,594597.21,3989725.32
435,IDM992,GSO,industrial,594654.8,3989739.1
436,IDM993,GSO,industrial,594674.0,3989743.69
437,IDM996,GSO,industrial,594849.98,3989723.29
438,IDM997,GSO,industrial,594858.97,3989705.89
439,IDM1008,GSO,industrial,593013.07,3987643.21
440,IDM1009,GSO,industrial,593194.8,3987895.49
441,IDM1010,GSO,industrial,593122.23,3987879.97
442,IDM1012,GSO,industrial,597433.15,3994635.23
443,IDM1013,GSO,industrial,597387.39,3994635.27
444,IDM1014,GSO,industrial,597479.56,3994680.67
445,IDM1015,GSO,industrial,597488.5,3994635.13
446,IDM1016,GSO,industrial,597517.29,3994634.97
447,IDM1017,GSO,industrial,597442.3,3994635.22
448,IDM1019,GSO,industrial,597349.84,3994468.16
449,IDM1020,GSO,industrial,597350.68,3994486.05
450,IDM1022,GSO,industrial,596947.02,3994286.15
451,IDM1024,GSO,industrial,597568.56,3994625.36
452,IDM1025,GSO,industrial,597536.48,3994634.87
453,IDM1029,GSO,industrial,597577.87,3994500.07
454,IDM1030,GSO,industrial,597578.65,3994548.36
455,IDM1035,GSO,industrial,597277.48,3994046.08
456,IDM1036,GSO,industrial,597270.56,3994042.66
457,IDM1037,GSO,industrial,597334.81,3994067.87
458,IDM1040,GSO,industrial,597557.49,3994025.34
459,IDM1041,GSO,industrial,597565.08,3994036.96
460,IDM1052,GSO,industrial,594698.55,3989308.1
461,IDM1053,GSO,industrial,594698.09,3989317.03
462,IDM1054,GSO,industrial,594701.67,3989324.83
463,IDM1055,GSO,industrial,594708.83,3989340.43
464,IDM1056,GSO,industrial,594712.4,3989348.23
465,IDM1057,GSO,industrial,594715.98,3989356.03
466,IDM1058,GSO,industrial,594725.55,3989379.39
467,IDM1059,GSO,industrial,594727.96,3989387.15
468,IDM1060,GSO,industrial,594772.81,3989442.08
469,IDM1061,GSO,industrial,594723.14,3989371.63
470,IDM1064,GSO,industrial,594711.98,3989539.34
471,IDM1066,GSO,industrial,594693.74,3989536.79
472,IDM1068,GSO,industrial,594684.62,3989535.51
473,IDM1070,GSO,industrial,594702.86,3989538.07
474,IDM1072,GSO,industrial,594748.46,3989544.46
475,IDM1079,GSO,industrial,594811.29,3989019.0
476,IDM1081,GSO,industrial,594803.53,3989028.34
477,IDM1082,GSO,industrial,595345.06,3989021.44
478,IDM1083,GSO,industrial,595335.63,3989020.74
479,IDM1084,GSO,industrial,595316.77,3989019.34
480,IDM1085,GSO,industrial,595297.91,3989017.95
481,IDM1089,GSO,industrial,595388.58,3989022.59
482,IDM1090,GSO,industrial,595373.35,3989023.54
483,IDM1091,GSO,industrial,595363.92,3989022.84
484,IDM1094,GSO,industrial,595421.7,3988935.43
485,IDM1095,GSO,industrial,595415.46,3989094.93
486,IDM1096,GSO,industrial,595399.03,3989097.28
487,IDM1097,GSO,industrial,595390.82,3989098.45
488,IDM1098,GSO,industrial,595423.67,3989093.75
489,IDM1101,GSO,industrial,595382.61,3989099.63
490,IDM1103,GSO,industrial,595354.83,3989115.3
491,IDM1104,GSO,industrial,595368.73,3989106.13
492,IDM1107,GSO,industrial,595333.98,3989147.47
493,IDM1112,GSO,industrial,595332.62,3989173.3
494,IDM1113,GSO,industrial,595334.84,3989182.7
495,IDM1116,GSO,industrial,595342.88,3989215.79
496,IDM1117,GSO,industrial,595350.9,3989233.58
497,IDM1119,GSO,industrial,595358.92,3989251.37
498,IDM1120,GSO,industrial,595362.94,3989260.27
499,IDM1121,GSO,industrial,595365.99,3989269.29
500,IDM1126,GSO,industrial,595368.41,3989286.91
501,IDM1127,GSO,industrial,595365.99,3989269.29
502,IDM1152,GSO,industrial,597245.93,3992625.85
503,IDM1153,GSO,industrial,597258.0,3992652.6
504,IDM1160,GSO,industrial,597330.39,3992813.1
505,IDM1162,GSO,industrial,597326.37,3992804.18
506,IDM1163,GSO,industrial,597310.28,3992768.51
507,IDM1164,GSO,industrial,597318.32,3992786.35
508,IDM1166,GSO,industrial,597214.49,3993007.2
509,IDM1170,GSO,industrial,597284.31,3992976.13
510,IDM1171,GSO,industrial,597338.43,3992830.93
511,IDM1176,GSO,industrial,597290.17,3992723.93
512,IDM1177,GSO,industrial,597306.26,3992759.6
