Node,OH,
SM679   ,A ,
SM680   ,A ,
SM681   ,A ,
SM682   ,A ,
SM683   ,A ,
SM684   ,A ,
SM685   ,S ,
SM686   ,A ,
SM687   ,S ,
SM688   ,S ,
SM689   ,A ,
SM690   ,A ,
SM691   ,A ,
SM692   ,S ,
SM693   ,A ,
SM694   ,S ,
SM695   ,A ,
SM696   ,A ,
SM697   ,A ,
SM698   ,S ,
SM699   ,A ,
SM700   ,A ,
SM701   ,A ,
SM702   ,A ,
SM703   ,S ,
SM704   ,S ,
SM705   ,A ,
SM706   ,A ,
SM707   ,A ,
SM708   ,S ,
SM709   ,A ,
SM710   ,A ,
SM712   ,A ,
SM713   ,A ,
SM714   ,A ,
SM715   ,A ,
SM716   ,A ,
SM717   ,A ,
SM718   ,A ,
SM719   ,S ,
SM720   ,A ,
SM721   ,S ,
SM722   ,A ,
SM723   ,A ,
SM724   ,A ,
SM725   ,S ,
SM726   ,A ,
SM727   ,A ,
SM728   ,A ,
SM729   ,S ,
SM730   ,S ,
SM731   ,S ,
SM732   ,A ,
SM733   ,A ,
SM734   ,A ,
SM735   ,A ,
SM736   ,S ,
SM737   ,A ,
SM738   ,A ,
SM739   ,S ,
SM740   ,A ,
SM741   ,A ,
SM742   ,A ,
SM743   ,A ,
SM744   ,A ,
SM745   ,S ,
SM746   ,A ,
SM747   ,S ,
SM748   ,A ,
SM749   ,A ,
SM750   ,A ,
SM751   ,A ,
SM752   ,A ,
SM753   ,S ,
SM754   ,A ,
SM755   ,A ,
SM756   ,S ,
SM757   ,A ,
SM758   ,A ,
SM759   ,A ,
SM760   ,A ,
SM761   ,S ,
SM762   ,A ,
SM763   ,A ,
SM764   ,S ,
SM765   ,A ,
SM766   ,A ,
SM767   ,A ,
SM768   ,A ,
SM769   ,S ,
SM770   ,A ,
SM771   ,A ,
SM772   ,S ,
SM773   ,A ,
SM774   ,A ,
SM775   ,A ,
SM776   ,A ,
SM777   ,S ,
SM778   ,A ,
SM779   ,A ,
SM780   ,A ,
SM781   ,S ,
SM782   ,A ,
SM783   ,S ,
SM784   ,A ,
SM785   ,A ,
SM786   ,S ,
SM787   ,A ,
SM788   ,S ,
SM789   ,A ,
SM790   ,A ,
SM791   ,A ,
SM792   ,A ,
SM793   ,A ,
SM794   ,A ,
SM795   ,A ,
SM796   ,A ,
SM797   ,A ,
SM798   ,A ,
SM799   ,S ,
SM800   ,S ,
SM801   ,A ,
SM802   ,S ,
SM803   ,A ,
SM804   ,A ,
SM805   ,S ,
SM806   ,A ,
SM807   ,S ,
SM808   ,S ,
SM809   ,S ,
SM810   ,A ,
SM811   ,A ,
SM812   ,A ,
SM813   ,S ,
SM814   ,A ,
SM815   ,S ,
SM816   ,S ,
SM817   ,A ,
SM818   ,A ,
SM819   ,A ,
SM820   ,S ,
SM821   ,S ,
SM822   ,A ,
SM823   ,S ,
SM824   ,S ,
SM825   ,A ,
SM826   ,A ,
SM827   ,A ,
SM828   ,S ,
SM829   ,S ,
SM830   ,S ,
SM831   ,A ,
SM832   ,A ,
SM833   ,S ,
SM834   ,A ,
SM835   ,A ,
SM836   ,A ,
SM837   ,A ,
SM838   ,A ,
SM839   ,S ,
SM840   ,A ,
SM841   ,A ,
SM842   ,A ,
SM843   ,S ,
SM844   ,S ,
SM845   ,A ,
SM846   ,A ,
SM847   ,A ,
SM848   ,A ,
SM849   ,S ,
SM850   ,A ,
SM851   ,S ,
SM852   ,S ,
SM853   ,S ,
SM854   ,A ,
SM855   ,A ,
SM856   ,A ,
SM857   ,S ,
SM858   ,S ,
SM859   ,A ,
SM860   ,A ,
